ID	kmeans	network	red
13813032	3	5	4
13813512	5	5	3
13886852	0	6	6
13889622	7	6	3
13893582	0	3	3
13901302	0	6	3
13904812	5	6	1
13910082	5	3	2
13931982	5	6	1
13945572	0	7	1
13949232	0	6	6
13951122	0	3	6
13963432	7	5	3
13980622	5	5	3
13985522	5	6	6
14003912	3	6	3
14004022	0	3	2
14046520	5	5	3
14046530	5	6	3
14050456	6	6	7
14054687	0	5	6
14055158	7	6	1
14058391	0	5	6
14060637	0	5	6
14060640	7	6	3
14061059	0	6	6
14061690	0	5	6
14061743	7	6	6
14063139	5	3	1
14065303	0	5	6
14068631	5	5	3
14073908	5	6	1
14076747	0	6	6
14077006	0	3	6
14080534	0	6	3
14082105	0	7	6
14082236	5	3	1
14083468	0	6	6
14085873	2	5	4
14089573	5	5	3
14090720	7	0	6
14092963	0	6	3
14093540	0	6	6
14093909	0	6	7
14096293	6	6	7
14096378	1	6	0
14097734	7	3	3
14097779	5	6	3
14098332	7	5	3
14100029	2	6	4
14100717	0	5	6
14101591	5	6	3
14103188	0	7	6
14104498	0	6	6
14105903	7	5	3
14106909	0	5	3
14108352	0	6	6
14112296	7	6	3
14114228	5	6	1
14115096	5	6	3
14118359	1	6	1
14120889	0	5	6
14122188	0	6	3
14122870	5	6	2
14124541	6	6	7
14125871	1	0	1
14126696	5	3	3
14129874	0	5	6
14131073	6	6	7
14132172	5	5	3
14132674	5	6	1
14133001	0	5	6
14133163	1	0	1
14134705	3	5	4
14134854	0	5	7
14134924	7	6	2
14136236	0	7	6
14136341	0	0	6
14136459	0	6	2
14137105	0	0	6
14138687	7	6	2
14140936	0	5	3
14142709	5	6	1
14142779	0	3	3
14142965	0	3	6
14143872	5	6	1
14145707	7	6	3
14146896	7	6	3
14147346	5	6	1
14148326	0	5	6
14149386	3	0	4
14149919	5	6	1
14149937	0	5	6
14150648	7	6	3
14151652	5	5	3
14152745	0	6	6
14155103	0	6	6
14156236	0	5	6
14156676	0	0	4
14157068	0	6	6
14157920	0	6	6
14160604	0	0	6
14160917	0	6	6
14161143	5	6	3
14161568	5	6	1
14161792	0	6	6
14166065	5	5	1
14166346	0	6	6
14166714	6	6	7
14166919	0	5	6
14171668	5	5	3
14173057	5	0	1
14175500	5	3	1
14176139	0	6	6
14177133	0	5	6
14177252	5	0	4
14178303	0	5	6
14179101	7	6	6
14181101	0	6	1
14183111	0	5	6
14183542	5	6	3
14185846	0	6	6
14186348	5	5	1
14186490	5	6	3
14187540	0	5	6
14188163	5	6	1
14188890	6	0	6
14191894	7	6	1
14192936	0	6	6
14195803	0	5	6
14196473	0	0	6
14197443	5	5	2
14198169	5	6	6
14199907	5	6	1
14200334	5	5	6
14201978	5	5	3
14202167	0	6	3
14204059	0	5	6
14208474	2	6	4
14209015	7	6	1
14209427	0	0	4
14210641	0	6	0
14211527	0	5	6
14214388	5	3	1
14216202	7	5	1
14217197	5	6	3
14217510	0	3	6
14221564	5	6	3
14222786	5	6	1
14226811	5	6	3
14226915	0	5	3
14227194	0	3	3
14228022	5	5	3
14228067	0	5	6
14231571	3	0	4
14234180	0	5	6
14234486	5	6	3
14236889	5	5	1
14237344	0	5	6
14237651	0	7	6
14237896	5	5	5
14238630	0	6	6
14238687	6	6	7
14240332	0	5	3
14240550	5	6	3
14242315	0	6	6
14244114	5	4	7
14245253	0	5	6
14245850	0	6	6
14246782	2	6	4
14252055	7	6	3
14252870	7	5	3
14254676	5	0	1
14255185	5	6	1
14255877	0	3	6
14256762	5	5	3
14258953	5	3	3
14260072	0	5	7
14260119	0	6	6
14261086	0	5	6
14263229	0	0	1
14264534	6	6	7
14269530	0	5	6
14270033	0	6	6
14270688	0	5	6
14270999	0	0	6
14272559	5	6	3
14277600	5	0	1
14277764	5	3	1
14281450	5	6	2
14282625	0	5	6
14286205	5	0	6
14287372	0	2	6
14288966	7	5	3
14291673	5	6	2
14292342	5	3	1
14293310	7	3	3
14294025	7	3	3
14295521	0	5	3
14295646	7	5	3
14296111	2	6	4
14296805	0	6	3
14299440	0	0	6
14300115	5	0	1
14302013	5	3	1
14302336	5	3	1
14302678	5	6	2
14302937	4	5	6
14304015	5	6	3
14306036	5	5	1
14308286	0	5	6
14308470	6	5	7
14310077	5	6	3
14311927	6	3	7
14313712	0	5	6
14315601	0	5	7
14318499	0	6	6
14320167	0	6	6
14321672	7	6	3
14322337	0	0	6
14322989	5	3	1
14326390	0	0	6
14326809	0	0	1
14327948	7	6	1
14329633	7	6	6
14331688	7	5	3
14333966	0	0	6
14335384	5	0	1
14335967	0	0	4
14336086	5	5	3
14339376	5	0	1
14340145	0	5	6
14341655	0	6	2
14343708	5	0	1
14343768	0	0	6
14344677	5	6	1
14347146	0	6	6
14347282	7	3	2
14347591	0	2	6
14347790	0	5	3
14349488	0	5	6
14349646	0	6	6
14351040	5	6	1
14351328	0	6	0
14351802	5	5	5
14352662	0	5	0
14354238	0	5	6
14354665	0	0	6
14355206	5	5	6
14355292	5	6	2
14355425	0	3	6
14357093	6	6	7
14357305	0	0	4
14357320	5	0	6
14358152	7	5	1
14358381	0	0	0
14358900	5	0	1
14360752	0	5	6
14361533	7	5	3
14361572	0	5	7
14362949	5	5	1
14363015	5	3	1
14363375	0	6	6
14365611	5	0	1
14366080	0	6	6
14366170	5	5	3
14369641	0	6	2
14371943	0	3	6
14372486	0	0	6
14373035	0	3	6
14375228	5	0	6
14375372	5	6	3
14378219	6	5	7
14378653	0	5	6
14379164	5	6	3
14379847	0	6	0
14381906	0	3	6
14382499	0	5	6
14385307	0	3	6
