source	target	count(*)
454257735	188048136	1
1671651	14231571	1
35203319	8060842	1
53563332	14231571	1
25696755	15416541	1
50018875	15383958	1
41843452	784912	1
68625068	16369316	1
54834230	188048136	1
19558701	755859	1
327550001	882763400	3
15267898	19312115	1
451108446	755859	1
18785068	23978155	2
15174093	83271185	1
17343329	755859	1
122665484	83271185	1
14355425	299659914	1
174680402	6187302	1
14209427	14231571	1
18722530	1066793484	1
193988028	15958614	1
219161803	18131006	1
15270123	14231571	1
49455665	12273252	1
17085074	755859	1
11215482	15760192	1
14833020	784912	1
344903387	755859	1
454929825	15403842	1
1306513860	9688342	1
56700953	126484603	1
15270123	11406792	1
19189955	784912	1
68953	312846503	1
49063831	188048136	1
14566237	83271185	1
7237922	15440049	1
37856725	37019708	1
141992165	32809351	1
227586466	14231571	1
53596339	972651	1
110120003	25338609	2
72272917	215625004	1
213240408	348429830	1
433665701	247578863	1
26814332	979811	1
239002651	1475774791	1
2257251	14231571	1
15022336	78453	1
6135062	16711478	1
543804827	37019708	1
312169321	51439690	1
14375372	17618643	1
310895151	41463992	1
38815589	83271185	1
270441488	9688342	1
378175954	979811	1
501363623	312663377	1
258122334	188048136	1
1693831	83271185	1
583375286	14347790	1
312472901	198732594	1
406766014	583375286	1
24923263	23978155	1
19558701	15440049	1
138669695	83271185	1
26319524	188048136	1
750469231	188048136	1
49639429	273684907	1
8108292	784912	1
15545124	17618643	1
211020755	188048136	1
121233033	23978155	1
17712725	979811	1
14438627	6312822	1
272275518	14231571	1
336362668	445098267	1
15060567	36183	1
2212361	83271185	1
14101591	15416541	1
274571186	37019708	1
934052329	979811	1
104119980	14231571	1
379101904	145201486	1
235762270	188048136	1
23189284	14231571	1
240048041	188048136	1
177260278	2087371	1
314407214	188048136	1
72073778	83271185	1
7237922	215625004	1
6861272	83271185	1
146323126	755859	1
12504	273684907	1
698193	5777542	1
2684451	755859	1
4258171	83271185	1
40632780	83271185	1
42370081	1475774791	1
86053702	134604076	1
19007006	78453	1
55353320	508194417	1
43925636	784912	1
156476556	188048136	1
5716352	611823	1
14940197	658643	1
376516089	13945572	1
356683	273684907	1
24923263	139658109	1
257776736	188048136	1
1119703950	784912	1
38699286	12273252	1
14060640	6312822	1
14177252	14231571	1
1162036044	25338609	1
11482102	14231571	1
585410654	275686563	1
1160892398	6981492	1
135551329	348429830	1
28463821	979811	1
416050185	14231571	1
14358900	273684907	1
19745636	755859	1
98523794	6187302	1
302606532	188048136	1
46425431	6981492	1
19558701	84379745	1
14797245	222540906	1
52885446	1197619002	1
3909641	78453	1
22844737	9688342	1
134517532	755859	2
56318993	37019708	1
451108446	19558701	1
180683462	4641021	1
19182150	1197619002	1
51648435	15440049	1
22253	2426	1
371487390	145201486	1
82929455	9688342	1
30006068	13945572	1
14577594	14231571	1
134517532	2087371	2
760369974	19895809	1
163581384	817386	1
1265932333	83271185	1
17104996	6312822	1
12609722	20904050	1
98785047	14231571	1
470027626	18657572	1
5026991	6187302	1
15684784	12984782	1
617902392	366493005	1
117737185	12273252	1
98785047	250775442	1
160139074	979811	1
477093739	188048136	1
85913717	273684907	1
72766861	222540906	1
151195482	188048136	1
51313532	636923	1
78569517	16662889	1
86433165	784912	1
701819767	18657572	1
738633	15027362	1
181090931	4641021	1
134517532	636923	1
25805010	83271185	1
299390896	972651	1
240614530	817386	1
20463794	348429830	1
168169935	83271185	1
28628958	273684907	1
159111086	22852745	1
1511034536	755859	1
198559051	722394841	1
61890650	348429830	1
7006222	14231571	1
297739773	188048136	1
315927670	348429830	1
713941724	127978917	1
423826570	979811	1
77181379	348429830	1
390452836	215625004	1
153648441	286803371	1
416693298	188048136	1
1255770169	554523661	1
1306513860	25338609	3
180921810	188048136	1
8390682	8950192	1
221421793	15830701	1
749911052	214121628	1
166034884	611823	1
407584050	6312822	1
465689262	784912	1
546672478	229256967	1
18370717	972651	1
1027515500	215625004	1
7284312	14882065	1
265742115	188048136	1
198554681	14231571	1
1255770169	14752818	1
16444535	14231571	1
14217197	784912	1
760369974	83271185	1
9259892	83271185	1
11405762	6187302	1
219601755	545531694	1
254525352	5777542	1
287086915	200512535	1
270232970	19225408	1
229318075	21253062	1
461959827	19088161	2
22922008	755859	1
235820985	37019708	1
385771776	611823	1
185177057	15830701	1
14186490	23978155	1
125558830	14231571	1
330631038	188048136	1
15654208	979811	1
241588187	1286041	1
26644148	83271185	1
749911052	69442868	1
42574992	188048136	1
261012410	182936819	1
147696114	18865450	1
355844237	19312115	1
226624013	51813392	1
18863829	14372486	1
74746707	636923	1
232941492	188048136	1
137023801	188048136	1
17376430	15581876	1
416521258	188048136	1
540711381	815897	1
1146133807	9688342	4
288295734	83271185	1
17351544	13945572	1
310418828	18131006	1
736010604	313496814	1
824465358	12273252	1
44921950	784912	1
266213391	784912	1
116197245	23978155	2
405100143	18518062	1
772041690	12273252	1
19691153	15936679	1
54202326	784912	1
15270123	5026991	1
63636463	14231571	1
5777542	18865450	1
859016581	188048136	1
37119973	14231571	1
15251758	83271185	1
102119907	273684907	1
15197938	7284312	1
202233697	273684907	1
39129794	83271185	1
1306958010	611823	1
57022012	145201486	1
29522365	188048136	1
488048054	188048136	2
301023812	83271185	1
15848802	11405762	1
432938298	15830701	1
239664138	188048136	1
76759476	14151652	1
14783420	83271185	1
49203256	12273252	1
167061355	611823	1
13945572	10780612	1
327191415	188048136	1
725953	755859	1
53930095	273684907	1
263007493	1006521	1
36713	771681	1
74039432	23978155	1
68055926	15958614	1
32973382	273684907	1
152143772	188048136	1
132595720	15830701	1
14397549	273684907	1
364197480	6312822	1
134878011	348429830	1
66619528	273684907	1
34050619	19225408	1
432199984	273684907	1
15270123	23255992	1
14186490	585485094	1
112187977	380097946	1
9213202	979811	1
928895239	20542450	1
6911532	14940197	1
408805756	15403842	1
133116597	18657572	1
7638992	6312822	1
90337535	784912	1
235769432	188048136	1
86053702	23978155	1
35383	784912	1
93382672	14231571	2
12235032	636923	1
19182150	348429830	1
156192843	16452299	1
14743926	784912	1
296911867	188048136	1
14148326	312846503	1
63096088	428413732	1
15270123	16711478	1
109498162	37019708	1
22974708	23978155	1
250736463	188048136	1
2257251	18804306	1
261792036	188048136	1
318393568	64887385	1
450611024	300574666	1
7284312	273684907	1
4546251	6312822	1
723829807	103466096	1
99198220	12273252	1
286715690	78453	1
93156626	1475774791	1
18794961	14231571	1
245892723	188048136	1
1160892398	83271185	1
267361990	23978155	1
1089691	14231571	1
36711602	784912	1
240441406	273684907	1
14829605	755859	1
74857162	84379745	1
18291974	6981492	1
33818674	784912	1
241732378	188048136	1
33429714	882763400	2
59498896	658643	1
115709777	14231571	1
30006068	273684907	1
63096088	78453	1
38897348	755859	1
15951166	221453192	1
233576841	188048136	1
1027515500	222540906	1
39247962	784912	1
339995442	188048136	1
54647086	6187302	1
22377137	273684907	1
67435699	188048136	1
642543	348429830	1
32177218	36183	1
12831092	25338609	1
85191676	273684907	1
1255770169	1197619002	1
19855268	273684907	1
459008803	83271185	1
52885446	15958614	1
318148220	18131006	1
24179617	611823	1
1480130808	979811	1
414404825	188048136	1
72052556	9688342	1
442981422	188048136	1
15052343	275686563	1
38822577	15830701	1
140541759	9688342	2
300574666	273684907	1
1503163128	15066271	1
38897348	12217	1
21365675	312846503	1
53596339	1475774791	1
451108446	16318564	1
19674394	14231571	1
17599131	12273252	2
146969405	15398988	1
14577594	632113197	1
635639811	393648766	1
190988390	19312115	1
16063991	14246782	1
1123327922	275686563	1
62007617	12984782	1
13904812	755859	1
723829807	7144422	1
251804630	972651	1
123859505	14231571	1
3007491	83271185	1
176725989	188048136	1
78783	14231571	1
14989726	273684907	1
37430527	273684907	1
105765996	127978917	1
22648205	273684907	1
15951166	236572437	1
327550001	6312822	1
43828292	188048136	1
771681	273684907	1
250497656	6312822	1
92369660	972651	1
492174715	275686563	1
93998613	5777542	1
103227509	1214346157	1
242144565	83271185	1
8204972	273684907	1
27321286	273684907	1
15416541	972651	1
1275570596	215625004	1
131257475	9688342	1
242144565	202233697	1
98523794	6312822	1
18997528	23978155	1
29630960	188048136	1
78149870	188048136	1
362130491	277568858	1
495542777	109433050	1
37120200	12273252	1
74857162	12217	1
14365611	14989726	1
482871517	1475774791	1
408879933	78453	1
17738585	275686563	1
34050619	14231571	1
14060637	15066271	1
18553922	23978155	1
407584050	16452299	1
15715971	14231571	1
113456205	5834352	1
14604243	979811	1
83300860	972651	1
17107857	11469602	1
4528281	16318564	1
342720495	273116393	1
315239083	198732594	1
87051544	12273252	1
14260072	979811	1
126484603	223028814	1
33725241	273684907	1
14890530	784912	1
15523460	25338609	1
312663377	275686563	1
181346176	16318564	1
90313362	188048136	1
15348159	3468981	1
761023	273684907	1
17351544	273684907	1
1083683586	37019708	1
320514870	1475774791	1
130203340	259923509	1
15458539	23978155	1
49196301	16452299	1
887148235	1475774791	1
389585308	188048136	1
